Partlist

Exported from A10-OLinuXino-Lime_Rev_C.sch at 19/10/2015 18:31

EAGLE Version 6.5.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part         Value                              Device                            Package                   Library           Sheet
C173         470nF                              C-EUC0603_DWS                     C0603_DWS                 rcl               1
C174         470uF/10V/105C                     CPOL-EUE2.5-6.3                   E2,5-6,3                  rcl               1
C175         22pF                               C-EUC0603_DWS                     C0603_DWS                 rcl               1
C176         22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C177         22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C178         22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C179         22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C180         22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C181         22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C182         22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C183         22pF                               C-EUC0603_DWS                     C0603_DWS                 rcl               1
C184         22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C185         22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C186         22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
CHGLED       LED/YELLOW/0603                    LED0603DWS                        LED-0603                  DOUBLE-SIDE       1
D1           1N5819(S4SOD-123)                  SCHOTKKY7.62SS-1N5819(S4SOD-123)  SOD-123                   gogo              1
D2           1N5819(S4SOD-123)                  SCHOTKKY7.62SS-1N5819(S4SOD-123)  SOD-123                   gogo              1
D3           NA(1N5822/SS34/SMA)                SCHOTKKY7.62SS2                   MLL-41                    gogo              1
D4           SMBJ6.0A                           SMBJ16A                           DO214AA                   OLIMEX_DISCRET    1
D5           1N5822/SS34/SMA                    D-MLL-41                          MELF-MLL41                semicon-smd-ipc   1
FET1         IRLML6402                          P-MOS+DIODIRLML6402               SOT23                     Penko             1
FET2         IRLML6402                          P-MOS+DIODIRLML6402               SOT23                     Penko             1
FET3         IRLML6402                          P-MOS+DIODIRLML6402               SOT23                     Penko             1
FET4         BSS138(SOT23-3)                    N-MOS+DIODBSS138(SOT23-3)         SOT23                     Penko             1
FUSE1        FSMD035                            FUSE                              1206                      gogo              1
GND          TESTPADTESTPAD_40-ROUND            TESTPADTESTPAD_40-ROUND           TESTPAD_40-ROUND          gogo              1
GND_PIN      TESTPAD3                           TESTPAD3                          TEST_PAD40/70/SQUARE      gogo              1
GPIO-1       GPH127SMT-02X20(PA-V16X-2X20-LF)   ML40YA-V36P-2X20-LF               YA-V36P-2X20-LF           OLIMEX_CASES      1
GPIO-2       GPH127SMT-02X20(PA-V16X-2X20-LF)   ML40YA-V36P-2X20-LF               YA-V36P-2X20-LF           OLIMEX_CASES      1
GPIO-3       GPH127SMT-02X20(PA-V16X-2X20-LF)   ML40YA-V36P-2X20-LF               YA-V36P-2X20-LF           OLIMEX_CASES      1
GPIO-4       GPH127SMT-02X10(PA-V16X-2X10-LF)   ML20YA-V36P-2X10-LF               YA-V36P-2X10-LF           con-harting-ml    1
HDMI         HDMI-SWM-19                        HDMI-MC34931HDMI-SWM-19           HDMI-SWM-19               OLIMEX_CONNECTORS 1
IPSOUT       TESTPADTESTPAD_40-ROUND            TESTPADTESTPAD_40-ROUND           TESTPAD_40-ROUND          gogo              1
L1           FB0805/600R/2A                     L-USL0805_5MIL_DWS                L0805_5MIL_DWS            rcl               1
L2           FB0805/600R/2A                     L-USL0805_5MIL_DWS                L0805_5MIL_DWS            rcl               1
L3           FB0805/600R/2A                     L-USL0805_5MIL_DWS                L0805_5MIL_DWS            rcl               1
L4           CL470nH/0805/1.76R/250mA           L-USL0805_5MIL_DWS                L0805_5MIL_DWS            rcl               1
L5           FB0805/600R/2A                     L-USL0805_5MIL_DWS                L0805_5MIL_DWS            rcl               1
L6           FB0805/600R/2A                     L-USL0805_5MIL_DWS                L0805_5MIL_DWS            rcl               1
L7           FB0805/600R/2A                     L-USL0805_5MIL_DWS                L0805_5MIL_DWS            rcl               1
L8           FB0805/600R/2A                     L-USL0805_5MIL_DWS                L0805_5MIL_DWS            rcl               1
L9           FB0805/600R/2A                     L-USL0805_5MIL_DWS                L0805_5MIL_DWS            rcl               1
L10          2.2uH/1.5A/DCR<0.1R/CD32           L-CD32                            CD32                      OLIMEX_DISCRET    1
